Date,Lobster,Region,Red,Green,Blue
7/18/2024,L01,CH,98,96,78
7/18/2024,L01,CTM,35,62,50
7/18/2024,L01,CTE,72,85,50
7/18/2024,L01,AS-2,88,90,50
7/18/2024,L01,AS-5,70,73,50
7/18/2024,L02,CH,122,125,93
7/18/2024,L02,CTM,45,68,51
7/18/2024,L02,CTE,88,98,49
7/18/2024,L02,AS-2,76,86,46
7/18/2024,L02,AS-5,73,79,47
7/18/2024,L03,CH,137,106,68
7/18/2024,L03,CTM,52,60,57
7/18/2024,L03,CTE,93,84,38
7/18/2024,L03,AS-2,113,94,49
7/18/2024,L03,AS-5,102,87,57
7/18/2024,L04,CH,99,93,68
7/18/2024,L04,CTM,39,52,33
7/18/2024,L04,CTE,89,88,30
7/18/2024,L04,AS-2,78,75,32
7/18/2024,L04,AS-5,66,63,36
7/18/2024,L05,CH,132,122,82
7/18/2024,L05,CTM,79,84,62
7/18/2024,L05,CTE,106,105,57
7/18/2024,L05,AS-2,141,114,38
7/18/2024,L05,AS-5,118,95,31
7/18/2024,L09,CH,141,139,101
7/18/2024,L09,CTM,70,93,74
7/18/2024,L09,CTE,125,132,88
7/18/2024,L09,AS-2,122,111,58
7/18/2024,L09,AS-5,111,99,54
7/19/2024,L01,CH,114,116,83
7/19/2024,L01,CTM,23,52,27
7/19/2024,L01,CTE,114,125,62
7/19/2024,L01,AS-2,127,121,47
7/19/2024,L01,AS-5,81,76,36
7/19/2024,L02,CH,123,106,42
7/19/2024,L02,CTM,45,60,22
7/19/2024,L02,CTE,122,121,43
7/19/2024,L02,AS-2,138,114,19
7/19/2024,L02,AS-5,107,89,20
7/19/2024,L03,CH,150,103,47
7/19/2024,L03,CTM,40,57,26
7/19/2024,L03,CTE,117,108,30
7/19/2024,L03,AS-2,105,83,24
7/19/2024,L03,AS-5,87,70,23
7/19/2024,L04,CH,128,96,68
7/19/2024,L04,CTM,34,32,32
7/19/2024,L04,CTE,88,68,30
7/19/2024,L04,AS-2,123,86,40
7/19/2024,L04,AS-5,104,80,51
7/19/2024,L05,CH,150,81,25
7/19/2024,L05,CTM,49,44,34
7/19/2024,L05,CTE,108,79,34
7/19/2024,L05,AS-2,106,66,19
7/19/2024,L05,AS-5,88,60,23
7/19/2024,L09,CH,139,146,91
7/19/2024,L09,CTM,35,69,46
7/19/2024,L09,CTE,104,119,61
7/19/2024,L09,AS-2,98,108,44
7/19/2024,L09,AS-5,84,92,44
7/22/2024,L01,CH,99,74,39
7/22/2024,L01,CTM,27,37,24
7/22/2024,L01,CTE,83,80,45
7/22/2024,L01,AS-2,95,71,26
7/22/2024,L01,AS-5,82,62,20
7/22/2024,L02,CH,119,72,21
7/22/2024,L02,CTM,49,52,21
7/22/2024,L02,CTE,112,98,31
7/22/2024,L02,AS-2,144,98,24
7/22/2024,L02,AS-5,130,92,41
7/22/2024,L03,CH,123,65,16
7/22/2024,L03,CTM,41,42,27
7/22/2024,L03,CTE,93,73,23
7/22/2024,L03,AS-2,89,53,16
7/22/2024,L03,AS-5,79,58,20
7/22/2024,L04,CH,130,75,43
7/22/2024,L04,CTM,35,27,41
7/22/2024,L04,CTE,87,57,37
7/22/2024,L04,AS-2,103,59,33
7/22/2024,L04,AS-5,106,76,58
7/22/2024,L05,CH,113,58,20
7/22/2024,L05,CTM,48,39,27
7/22/2024,L05,CTE,95,62,24
7/22/2024,L05,AS-2,80,48,20
7/22/2024,L05,AS-5,72,46,17
7/22/2024,L06,CH,127,131,77
7/22/2024,L06,CTM,25,57,34
7/22/2024,L06,CTE,100,113,62
7/22/2024,L06,AS-2,122,116,49
7/22/2024,L06,AS-5,114,109,44
